Date,tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2018-05-04,42.9,57.6,72.3,0.14,11.35
2018-05-05,47.2,56.4,65.5,0.38,9.14
2018-05-06,47.7,60.2,72.7,0.35,14.13
2018-05-07,47.8,56.6,65.3,0.38,7.26
2018-05-08,44.3,57.9,71.6,0.07,10.86
2018-05-09,46.0,59.8,73.6,0.17,13.59
2018-05-10,48.0,57.8,67.6,0.21,11.24
2018-05-11,43.8,54.1,64.3,0.40,10.10
2018-05-12,43.8,55.1,66.5,0.32,9.87
2018-05-13,45.2,61.7,78.3,0.16,20.93
2018-05-14,46.9,66.4,85.9,0.30,28.09
2018-05-15,46.4,64.7,82.9,0.21,21.39
2018-05-16,48.5,59.6,70.6,0.38,9.70
2018-05-17,49.3,57.6,65.8,0.58,8.25
2018-05-18,45.3,56.9,68.5,0.42,9.79
2018-05-19,48.0,58.4,68.9,0.40,10.70
2018-05-20,46.9,58.2,69.6,0.59,11.14
2018-05-21,42.8,56.4,70.0,0.32,13.00
2018-05-22,44.2,58.9,73.7,0.25,17.46
2018-05-23,47.6,65.6,83.6,0.49,23.78
2018-05-24,51.0,62.8,74.6,0.47,12.72
2018-05-25,52.9,63.1,73.2,0.78,11.90
2018-05-26,41.9,54.9,67.9,0.31,10.54
2018-05-27,42.9,54.5,66.0,0.24,10.39
2018-05-28,43.8,61.1,78.4,0.35,19.71
2018-05-29,46.0,60.4,74.9,0.45,16.34
2018-05-30,38.9,52.8,66.7,0.42,13.15
2018-05-31,41.6,54.3,67.0,0.78,13.73
2018-06-01,39.0,51.2,63.5,0.15,10.28
2018-06-02,38.9,55.7,72.5,0.15,17.66
2018-06-03,43.0,62.2,81.4,0.50,24.19
2018-06-04,47.4,59.6,71.8,0.54,15.65
2018-06-05,41.6,55.3,69.0,0.40,14.67
2018-06-06,41.0,56.8,72.6,0.32,17.08
2018-06-07,43.4,59.9,76.5,0.39,18.61
2018-06-08,49.0,60.3,71.6,0.84,14.47
2018-06-09,48.8,58.2,67.7,0.27,11.43
2018-06-10,46.2,53.9,61.6,0.18,7.76
2018-06-11,46.5,52.1,57.6,0.19,4.94
2018-06-12,45.0,57.3,69.5,0.39,14.15
2018-06-13,44.9,62.8,80.8,0.86,25.24
2018-06-14,49.0,57.5,66.0,0.71,10.18
2018-06-15,47.5,57.4,67.3,0.56,12.88
2018-06-16,49.8,60.2,70.6,0.70,13.53
2018-06-17,51.4,63.8,76.2,0.66,18.18
2018-06-18,52.1,69.6,87.0,0.65,31.60
2018-06-19,51.2,67.0,82.8,0.34,23.05
2018-06-20,50.3,69.7,89.2,0.36,35.69
2018-06-21,55.3,68.7,82.2,0.59,18.94
2018-06-22,55.3,65.4,75.5,0.82,15.08
2018-06-23,55.3,66.4,77.5,1.17,17.76
2018-06-24,52.5,65.2,77.8,0.93,18.89
2018-06-25,52.5,71.0,89.6,0.88,33.39
2018-06-26,44.7,57.8,71.0,0.37,13.38
2018-06-27,44.4,60.3,76.3,0.40,20.40
2018-06-28,45.4,61.3,77.2,0.41,19.71
2018-06-29,44.9,60.4,75.9,0.42,19.03
2018-06-30,45.8,63.4,81.0,0.45,23.52
2018-07-01,49.1,66.2,83.3,0.46,24.69
2018-07-02,48.6,64.2,79.7,0.97,21.50
2018-07-03,43.2,57.4,71.7,0.66,16.94
2018-07-04,42.8,59.6,76.5,0.57,20.28
2018-07-05,51.4,62.4,73.5,0.40,13.60
2018-07-06,50.0,67.6,85.2,0.21,27.80
2018-07-07,49.0,63.4,77.8,0.55,18.54
2018-07-08,50.0,65.5,80.9,0.54,24.64
2018-07-09,49.7,65.6,81.5,0.50,21.23
2018-07-10,51.1,61.1,71.1,0.70,11.49
2018-07-11,53.4,66.5,79.5,0.85,20.67
2018-07-12,54.4,70.9,87.4,1.05,30.89
2018-07-13,57.9,77.3,96.7,1.89,46.82
2018-07-14,54.1,73.7,93.3,1.34,39.18
2018-07-15,52.0,72.3,92.6,1.13,40.26
2018-07-16,55.0,75.9,96.8,1.19,45.26
2018-07-17,55.1,74.9,94.7,1.19,40.49
2018-07-18,53.2,70.5,87.8,0.69,28.72
2018-07-19,52.0,69.7,87.3,0.52,27.75
